    x1        x2        y              z
    0.1227    0.2990    0.1825         1
    0.3914    0.6392    0.8882         1
    0.7725    0.0826   -1.9521         0
    0.8342    0.0823   -1.9328         0
    0.5084    0.8025    1.2246         1
    0.9983    0.7404   -0.0631         0
    0.6643    0.3861   -0.4817         0
    0.0954    0.9860    2.8156         1
    0.6949    0.6050   -0.1065         0
    0.6075    0.3618   -0.7846         0
    0.3717    0.7610    1.3196         1
    0.0193    0.7192    1.6524         1
    0.9314    0.5181   -0.8102         0
    0.2206    0.1091   -1.2070         0
    0.0903    0.1085   -0.7060         0
    0.5466    0.2028   -1.0808         0
    0.4331    0.7049    1.0344         1
    0.5293    0.6880    0.5287         1
    0.8955    0.8477    0.7296         1
    0.0701    0.6176    1.4522         1
    0.0771    0.7883    1.8071         1
    0.1972    0.6273    1.2273         1
    0.6405    0.1157   -2.2342         0
    0.3203    0.2305   -0.5109         0
    0.1030    0.3140    0.1414         1
    0.5605    0.3131   -1.1836         0
    0.4288    0.9205    1.6718         1
    0.7101    0.0582   -2.4272         0
    0.6575    0.6994    0.3789         1
    0.9498    0.5013   -0.5279         0
    0.5550    0.5152    0.1456         1
    0.0947    0.4509    0.8650         1
    0.4293    0.8343    1.8152         1
    0.3100    0.4730    0.3213         1
    0.7297    0.7288    0.5224         1
    0.1973    0.4028    0.2151         1
    0.1571    0.1160   -0.3010         0
    0.2272    0.3902    0.1898         1
    0.2099    0.5191    0.5442         1
    0.3972    0.7047    0.7943         1
    0.0033    0.0438   -0.7167         0
    0.6441    0.2280   -1.3663         0
    0.5549    0.8297    1.2253         1
    0.9193    0.4730   -0.6352         0
    0.5341    0.3764   -0.4890         0
    0.1555    0.4256    0.7535         1
    0.1839    0.5615    0.8667         1
    0.9949    0.4739   -1.3357         0
    0.7918    0.1968   -1.9428         0
    0.4088    0.8426    1.6247         1
    0.2247    0.5714    1.1808         1
    0.3901    0.3748    0.0064         1
    0.4309    0.0957   -1.4507         0
    0.0732    0.3781    0.1981         1
    0.8077    0.0761   -2.4442         0
    0.0854    0.1927   -0.2013         0
    0.8955    0.9469    0.8336         1
    0.8794    0.8077    0.4427         1
    0.1094    0.1245   -0.8201         0
    0.0726    0.9662    2.6714         1
    0.4377    0.6030    0.7176         1
    0.8890    0.6766   -0.3397         0
    0.5791    0.2427   -1.4517         0
    0.9721    0.9348    1.1939         1
    0.5719    0.5331    0.1771         1
    0.3156    0.0088   -1.3286         0
    0.8065    0.9705    1.1001         1
    0.4777    0.8802    1.3824         1
    0.6264    0.6473    0.4988         1
    0.2117    0.0892   -1.0278         0
    0.0420    0.6419    1.5470         1
    0.0916    0.0732   -0.6330         0
    0.6035    0.2997   -1.0044         0
    0.6354    0.6253    0.5180         1
    0.4102    0.0288   -1.5689         0
    0.6950    0.1586   -1.6504         0
    0.2153    0.7286    1.5839         1
    0.0768    0.5323    0.8372         1
    0.2356    0.1967   -0.3673         0
    0.1591    0.9183    2.5511         1
    0.7171    0.2153   -1.4429         0
    0.9988    0.3529   -1.7349         0
    0.3936    0.1582   -1.4869         0
    0.0201    0.3701    0.3693         1
    0.6295    0.7371    0.7778         1
    0.1771    0.0300   -1.3098         0
    0.5888    0.5609   -0.1203         0
    0.5302    0.2182   -0.9736         0
    0.3434    0.9182    2.4602         1
    0.7154    0.5181   -0.0488         0
    0.3506    0.1568   -1.0768         0
    0.5432    0.8303    1.4595         1
    0.4687    0.7515    1.0999         1
    0.0130    0.3437    0.6295         1
    0.1311    0.6214    1.0837         1
    0.6970    0.6114    0.1586         1
    0.3996    0.6090    0.8348         1
    0.2208    0.5960    1.0200         1
    0.1119    0.0293   -1.3642         0
    0.4317    0.3873   -0.0373         0
